"1","2024-04-04","2024-04-04 12:00:11.0","1nom","8.0","00:12:11"
"2","2024-02-14","2024-02-14 13:00:11.0","2nom","18.0","00:19:11"
"3","2024-03-11","2024-03-11 14:00:11.0","3nom","8.8","00:18:11"
"4","2024-05-12","2024-05-12 15:00:11.0","4nom","8.1","00:17:11"
"5","2024-06-19","2024-06-19 16:00:11.0","5nom","1.8","00:16:11"
"6","2024-07-16","2024-07-16 17:00:11.0","6nom","11248.0","00:15:11"
"7","2024-02-01","2024-08-17 18:00:11.0","7nom","8.99","00:14:11"
"8","2024-09-18","2024-09-18 19:00:11.0","8nom","1238.6","00:13:11"
"9","2024-10-20","2024-10-20 20:00:11.0","9nom","12223.8","00:12:11"
"10","2024-11-21","2024-11-21 21:00:11.0","10nom","8344.089","00:11:11"
"12","2023-10-10","2024-12-21 21:00:11.0","koko","21.0","11:00:09"
